_id,SKUCode,multiCode,vendorCode,majorCode,colorCode,finishCode,image[0],isDeleted,__v
643dabf1528fff8354d9e506,85-31526,85-00374-SRY-Y-Y,SRY,85,Y,Y,08531526.jpg,,
643dabf1528fff8354d9e47d,73-05548,73-00237-EMR-Y-Y,EMR,73,Y,Y,07305548.jpg,,
643dabf1528fff8354d9e520,90-10925,90-00400-EMR-Y-TT,EMR,90,Y,TT,09010925.jpg,,
643dabf1528fff8354d9e485,75-19885,75-00245-EMR-Y-Y,EMR,75,Y,Y,07519885.jpg,,
643dabf1528fff8354d9e4b9,79-26431,79-00297-EMR-Y-TT,EMR,79,Y,TT,07926431.jpg,,
643dabf1528fff8354d9e51e,90-10897,90-00398-EMR-Y-MNC,EMR,90,Y,,09010897.jpg,,
643dabf1528fff8354d9e433,52-02597,52-00163-SCS-Y-TT,SCS,52,Y,TT,05202597.jpg,,
643dabf1528fff8354d9e4c8,85-27878,85-00312-PR-W-W,PR,85,W,W,08527878.jpg,,
643dabf1528fff8354d9e521,90-10929,90-00401-EMR-Y-TT,EMR,90,Y,TT,09010929.jpg,,
643dabf1528fff8354d9e413,49-08022,49-00131-ZAR-Y-TTT,ZAR,49,Y,TTT,04908022.jpg,,
643dabf1528fff8354d9e3b0,30-19748,30-00032-UG-Y-Y,UG,30,Y,Y,03019748.jpg,,
643dabf1528fff8354d9e3fa,41-08531,41-00106-AU-Y-TT,AU,41,Y,TT,04108531.jpg,,
643dabf1528fff8354d9e40c,49-07200,49-00124-DP-Y-TT,DP,49,Y,TT,04907200.jpg,,
643dabf1528fff8354d9e399,23-03799,23-00009-EMR-Y-Y,EMR,23,Y,Y,02303799.jpg,,
643dabf1528fff8354d9e536,95-06662,95-00422-EMR-Y-Y,EMR,95,Y,Y,09506662.jpg,,
643dabf1528fff8354d9e414,49-08023,49-00132-ZAR-Y-TTT,ZAR,49,Y,TTT,04908023.jpg,,
643dabf1528fff8354d9e3bb,30-21196,30-00043-UG-Y-Y,UG,30,Y,Y,03021196.jpg,,
643dabf1528fff8354d9e44f,60-16645,60-00191-EJZ-Y-Y,EJZ,60,Y,Y,06016645.jpg,,
643dabf1528fff8354d9e48a,75-20221,75-00250-EMR-Y-Y,EMR,75,Y,Y,07520221.jpg,,
643dabf1528fff8354d9e4cd,85-28743,85-00317-EMR-Y-Y,EMR,85,Y,Y,08528743.jpg,,
643dabf1528fff8354d9e4e3,85-30432,85-00339-EMR-Y-Y,EMR,85,Y,Y,08530432.jpg,,
643dabf1528fff8354d9e4a4,78-03199,78-00276-EMR-Y-Y,EMR,78,Y,Y,07803199.jpg,,
643dabf1528fff8354d9e563,360-02613,360-00470-SHT-W-W,SHT,360,W,W,36002613.jpg,,
643dabf1528fff8354d9e47b,72-02134,72-00235-SCS-Y-TT,SCS,72,Y,TT,07202134.jpg,,
643dabf1528fff8354d9e4d8,85-29385,85-00328-EMR-Y-Y,EMR,85,Y,Y,08529385.jpg,,
643dabf1528fff8354d9e479,72-02094,72-00233-SCS-Y-TT,SCS,72,Y,TT,07202094.jpg,,
643dabf1528fff8354d9e4ae,79-24369,79-00286-EMR-Y-TT,EMR,79,Y,TT,07924369.jpg,,
643dabf1528fff8354d9e4d5,85-29274,85-00325-EMR-Y-Y,EMR,85,Y,Y,08529274.jpg,,
643dabf1528fff8354d9e554,102-00553,102-00452-EMR-Y-Y,EMR,102,Y,Y,10200553.jpg,,
643dabf1528fff8354d9e3e5,36-01745,36-00085-KUS-Y-Y,KUS,36,Y,Y,03601745.jpg,,
643dabf1528fff8354d9e3cd,31-16786,31-00061-UG-Y-Y,UG,31,Y,Y,03116786.jpg,,
643dabf1528fff8354d9e442,54-06812,54-00178-UG-Y-TT,UG,54,Y,TT,05406812.jpg,,
643dabf1528fff8354d9e482,73-05825,73-00242-EMR-Y-TT,EMR,73,Y,TT,07305825.jpg,,
643dabf1528fff8354d9e579,390-02059,390-00492-SHT-Y-TT,SHT,390,Y,TT,39002059.jpg,,
643dabf1528fff8354d9e4a2,78-03190,78-00274-EMR-Y-Y,EMR,78,Y,Y,07803190.jpg,,
643dabf1528fff8354d9e4fb,85-30764,85-00363-EMR-Y-Y,EMR,85,Y,Y,08530764.jpg,,
643dabf1528fff8354d9e420,50-16419,50-00144-UG-Y-TT,UG,50,Y,TT,05016419.jpg,,
643dabf1528fff8354d9e490,75-20619,75-00256-EMR-Y-MNC,EMR,75,Y,,07520619.jpg,,
643dabf1528fff8354d9e4f2,85-30621,85-00354-EMR-Y-Y,EMR,85,Y,Y,08530621.jpg,,
643dabf1528fff8354d9e564,360-02701,360-00471-GS-R-R,GS,360,R,R,36002701.jpg,,
643dabf1528fff8354d9e3dd,33-02482,33-00077-DP-Y-Y,DP,33,Y,Y,03302482.jpg,,
643dabf1528fff8354d9e4bb,80-20612,80-00299-EMR-Y-Y,EMR,80,Y,Y,08020612.jpg,,
643dabf1528fff8354d9e467,70-17781,70-00215-EMR-Y-TT,EMR,70,Y,TT,07017781.jpg,,
643dabf1528fff8354d9e439,52-02682,52-00169-UG-Y-TT,UG,52,Y,TT,05202682.jpg,,
643dabf1528fff8354d9e57d,400-04834,400-00496-BLJ-Y-Y,BLJ,400,Y,Y,40004834.jpg,,
643dabf1528fff8354d9e3f9,41-08508,41-00105-AU-Y-Y,AU,41,Y,Y,04108508.jpg,,
643dabf1528fff8354d9e495,75-21041,75-00261-EMR-Y-RY,EMR,75,Y,RY,07521041.jpg,,
643dabf1528fff8354d9e3fe,41-09089,41-00110-AU-Y-TT,AU,41,Y,TT,04109089.jpg,,
643dabf1528fff8354d9e403,44-08186,44-00115-SRE-Y-Y,SRE,44,Y,Y,04408186.jpg,,
643dabf1528fff8354d9e48b,75-20235,75-00251-EMR-Y-MNC,EMR,75,Y,,07520235.jpg,,
643dabf1528fff8354d9e555,102-00582,102-00453-EMR-Y-Y,EMR,102,Y,Y,10200582.jpg,,
643dabf1528fff8354d9e440,54-06724,54-00176-DHA-ATQ-ATQ,DHA,54,ATQ,ATQ,05406724.jpg,,
643dabf1528fff8354d9e4a1,78-03188,78-00273-EMR-Y-MNC,EMR,78,Y,,07803188.jpg,,
643dabf1528fff8354d9e436,52-02635,52-00166-SCS-Y-Y,SCS,52,Y,Y,05202635.jpg,,
643dabf1528fff8354d9e57a,400-04654,400-00493-GS-Y-YW,GS,400,Y,YW,40004654.jpg,,
643dabf1528fff8354d9e3c7,31-16309,31-00055-DP-W-W,DP,31,W,W,03116309.jpg,,
643dabf1528fff8354d9e568,361-02220,361-00475-SHT-Y-Y,SHT,361,Y,Y,36102220.jpg,,
643dabf1528fff8354d9e427,50-17082,50-00151-UG-Y-TT,UG,50,Y,TT,05017082.jpg,,
643dabf1528fff8354d9e46c,72-01510,72-00220-SCS-Y-TT,SCS,72,Y,TT,07201510.jpg,,
643dabf1528fff8354d9e4d0,85-28810,85-00320-EMR-Y-Y,EMR,85,Y,Y,08528810.jpg,,
643dabf1528fff8354d9e486,75-20051,75-00246-EMR-Y-TT,EMR,75,Y,TT,07520051.jpg,,
643dabf1528fff8354d9e538,95-06874,95-00424-EMR-Y-Y,EMR,95,Y,Y,09506874.jpg,,
643dabf1528fff8354d9e56a,361-02224,361-00477-SHT-R-R,SHT,361,R,R,36102224.jpg,,
643dabf1528fff8354d9e415,49-08026,49-00133-ZAR-Y-Y,ZAR,49,Y,Y,04908026.jpg,,
643dabf1528fff8354d9e4c4,85-27819,85-00308-PR-W-W,PR,85,W,W,08527819.jpg,,
643dabf1528fff8354d9e51b,90-10746,90-00395-EMR-Y-TT,EMR,90,Y,TT,09010746.jpg,,
643dabf1528fff8354d9e4ba,80-20586,80-00298-EMR-Y-Y,EMR,80,Y,Y,08020586.jpg,,
643dabf1528fff8354d9e44c,60-15984,60-00188-UG-Y-Y,UG,60,Y,Y,06015984.jpg,,
643dabf1528fff8354d9e565,361-02102,361-00472-SHT-R-R,SHT,361,R,R,36102102.jpg,,
